artist,avg_popularity
Young Miko,86.078898050974516
Shakira,86.064543889845083
Bing Crosby,86.0241935483871
Bailey Zimmerman,86
Bradley Cooper,86
Blake Roman,86
Sam Haft,86
Andrew Underberg,86
Dulquer Salmaan,85.991304347826116
Bad Gyal,85.96842105263157
Tiësto,85.93454038997217
Gene Autry,85.933333333333337
The Jackson 5,85.933333333333323
The Chainsmokers,85.923076923076934
Hozier,85.919881767268208
Coldplay,85.839829476248468
Bomba Estéreo,85.810526315789488
Feid,85.799385688627424
AC/DC,85.769230769230759
The War and Treaty,85.761904761904759
Macklemore & Ryan Lewis,85.750591016548469
Ryan Lewis,85.750591016548469
Wyclef Jean,85.75
Shaboozey,85.744207317073176
千葉雄喜,85.744186046511629
ROSALÍA,85.74004683840748
Ray Dalton,85.734669811320771
ThxSoMch,85.714285714285722
José Feliciano,85.707282913165272
Don Toliver,85.677477477477467
Loreen,85.635971223021571
Luis R Conriquez,85.617828773168569
Tracy Chapman,85.600000000000009
League of Legends,85.590604026845639
Dj Nk Da Serra,85.542857142857144
Macklemore,85.5164705882353
WALK THE MOON,85.5
Ofenbach,85.496287612348581
Norma Jean Martine,85.496287612348581
Chris Martin,85.457627118644069
Lunay,85.451310861423224
CYRIL,85.418469217970028
Lord Huron,85.414098097024947
Neton Vega,85.397289586305277
Creepy Nuts,85.396694214876035
Journey,85.375
Jhayco,85.32573289902281
070 Shake,85.318181818181813
Calvin Harris,85.313953488372093
Britney Spears,85.3132530120482
Kim Petras,85.304054054054049
XXXTENTACION,85.265625000000014
Sam Smith,85.245161290322585
Ed Sheeran,85.221782178217808
Matt Sassari,85.214285714285708
Ellie Goulding,85.171428571428578
Alphaville,85.163265306122454
Oscar Maydon,85.161878881987576
Swae Lee,85.154109589041084
Miguel,85.153550863723609
Triz,85.142857142857125
The Cranberries,85.115384615384613
Trueno,85.107565337001375
Código FN,85.10614525139664
The Kid LAROI,85.102537545313311
Jimin,85.073844591163052
Tainy,85.063461538461539
Lil Tecca,85.040114613180521
Mc Menor Thalis,85.030674846625757
bôa,85
Grupo Firme,84.958415841584156
Mc Magrinho,84.927927927927925
The Game,84.902439024390247
Mora,84.851137487636024
Chencho Corleone,84.829556650246289
Jonas Brothers,84.8135593220339
Addison Rae,84.7927927927928
Dominic Fike,84.78947368421052
Maluma,84.757553852826362
Mc Gw,84.750684931506854
Noah Cyrus,84.75
Lil Peep,84.739130434782624
James Arthur,84.712830957230153
Rich Amiri,84.679012345679
ERNEST,84.668918918918934
Isabel LaRosa,84.663811563169162
¥$,84.567812929848671
50 Cent,84.552941176470583
Bruce Springsteen,84.521126760563376
LIT killah,84.508840864440089
Kapo,84.506771515945815
Maggie Rogers,84.4375
Taiu,84.433756805807619
Creeds,84.370242214532865
Mc Tigão,84.363636363636374
TATOOL,84.346997140133467
Elton John,84.32169117647058
The Andrews Sisters,84.294117647058812
Jasiel Nuñez,84.291666666666657
RXDXVIL,84.27272727272728
Grupo Menos É Mais,84.2609819121447
Daryl Hall & John Oates,84.253731343283576
Kanye West,84.23220682136737
Mc Don Juan,84.216890595009588
Taylor Swift,84.1449241210293
Daniel Caesar,84.12658227848101
Eslabon Armado,84.068548387096769
Jungle,84.054794520547944
Carin Leon,84.0322954620736
Mc Luan,84.019230769230759
Milo j,84.008851861494421
Mc Karol,84
Ella Fitzgerald,84
Lauv,84
Trippie Redd,84
Kings of Leon,83.932835820895519
Julión Álvarez y su Norteño Banda,83.9196840026333
Ozuna,83.89351081530782
Gwen Stefani,83.8888888888889
Wham!,83.882591093117412
MC Tigrão,83.867924528301884
Wolfine,83.865771812080538
Ñejo,83.865771812080538
Matheus Fernandes,83.864516129032253
Manuel Turizo,83.849282296650756
The Beach Boys,83.846153846153854
Panter Bélico,83.835443037974684
Kelly Clarkson,83.833675564681727
Earth,83.833333333333329
Wind & Fire,83.833333333333329
Adriano Rhod,83.73
TOTO,83.72727272727272
Tom Odell,83.714928057553962
Jay Rock,83.6896551724138
Natanael Cano,83.6760681373918
Beach Weather,83.666666666666671
Mondello'G,83.664192949907232
CERES,83.664192949907232
Mykola Dmytrovych Leontovych,83.611111111111114
John Williams,83.611111111111114
Gaby Music,83.607679465776286
Madison Beer,83.603960396039611
Villano Antillano,83.551339285714292
DJ Ws da Igrejinha,83.550847457627114
Imogen Heap,83.525641025641036
Clams Casino,83.525641025641036
Bacilos,83.501577287066269
Eurythmics,83.5
Annie Lennox,83.5
Dave Stewart,83.5
dhruv,83.484210526315792
UMI,83.483870967741936
Eden Muñoz,83.475935828877013
Yamê,83.468646864686463
Piso 21,83.464837049742727
Luke Combs,83.4637573964497
Jordan Adetunji,83.453695042095418
Odetari,83.412500000000009
DJ Arana,83.395061728395063
CURSEDEVIL,83.387387387387392
DJ FKU,83.387387387387392
Skorde,83.387387387387392
Niall Horan,83.36363636363636
Michelle Maciel,83.355932203389841
TR,83.312820512820522
Mc Menor RV,83.312820512820522
Tropa da W&S,83.312820512820522
Siddharth - Garima,83.3108108108108
Shreyas Puranik,83.2743628185907
LXNGVX,83.274247491638789
Henry Moodie,83.25
Kane Brown,83.248275862068965
Disclosure,83.226666666666674
Eliza Doolittle,83.226666666666674
Rivo,83.226666666666674
MC Kevin o Chris,83.221549636803871
Troye Sivan,83.218687872763425
Bryson Tiller,83.196923076923071
Future,83.1868199548347
NewJeans,83.17294281729427
Tropa do Bruxo,83.158458244111344
SMU,83.158458244111344
Nate Ruess,83.125
Vance Joy,83.1129191321499
New West,83.073275862068954
DJ Matt D,83.071856287425163
Darlene Love,83.0628272251309
Ice Spice,83.0451612903226
JIN,83.030909090909077
Van Morrison,83.016077170418015
LiL CaKe,83
Nico Valdi,83
Karol X,83
Ne-Yo,83
AFROJACK,83
Nayer,83
Gayla Peevey,83
Sky Rompiendo,82.999999999999986
A$AP Rocky,82.985650224215249
FIFTY FIFTY,82.9438202247191
Vince Guaraldi Trio,82.937500000000014
MC Rogerinho,82.932432432432435
MC Maneirinho,82.90789473684211
Rauw Alejandro,82.889207134487691
Marnik,82.875
Naeleck,82.875
VINAI,82.875
Grupo Frontera,82.873687485416539
Red Hot Chili Peppers,82.857142857142861
Ty Dolla $ign,82.841149471163433
Sebastian Yatra,82.791666666666671
Camila Cabello,82.76
Flora Matos,82.745098039215691
WEY,82.74275362318842
Metro Boomin,82.73908174692049
Disturbed,82.68781470292042
Prod Malax,82.658273381294961
HUGEL,82.652252252252254
Topic,82.652252252252254
Arash,82.652252252252254
Daecolm,82.652252252252254
Nicki Nicole,82.642031029619176
Ovy On The Drums,82.641288433382144
Ink,82.636363636363654
TLC,82.636363636363654
Tiagz,82.611111111111114
J Balvin,82.594439901880619
ZICO,82.594127806563037
Octavio Cuadras,82.579710144927546
KATSEYE,82.575757575757578
Dj Kiire,82.566037735849051
Mambo Kingz,82.557729941291583
DJ Luian,82.557729941291583
Maisak,82.533117932148627
Mark Ronson,82.489795918367335
Kadu Martins,82.4864864864865
Amy Winehouse,82.464285714285722
Fepache,82.461538461538467
B Praak,82.458620689655177
Don Omar,82.453548759376787
Tego Calderón,82.43873517786561
Mc Luki,82.410583941605822
Tinashe,82.387755102040813
Adrian L Santos,82.36781609195404
Gracie Abrams,82.35515320334261
H.E.R.,82.353658536585357
Luar La L,82.3447749809306
FMK,82.3385231316726
Kesha,82.333333333333329
Lost Frequencies,82.266062602965377
SOG,82.250381679389321
MC GH do 7,82.237639553429034
Uzielito Mix,82.203571428571422
Michael Bublé,82.196712891628124
Raj Shekhar,82.188261351052049
Lithe,82.175334323922741
Otis Redding,82.15384615384616
Humberto & Ronaldo,82.140000000000015
Silvanno Salles,82.140000000000015
Agust D,82.114213197969548
DJ JZ,82.089700996677749
Mc Mininin,82.089700996677749
DJ LG PROD,82.089700996677749
Rvssian,82.049407114624515
LE SSERAFIM,82.0212971926428
Ndotz,82.003436426116849
Julian Perretta,82.000000000000014
Melody,82
Naldo Benny,82
Matheus Alves,82
Jesse & Joy,82
Tony Bennett,82
Sash!,82
Outkast,82
T-Pain,82
Alfredo Olivas,81.9934210526316
Gustavo Moura & Rafael,81.992063492063508
